Text,date,link,year
" Les quatre "" républiques-soeurs "" de l'ex-A",1960-03-19,https://www.lemonde.fr/archives/article/1960/03/19/la-recente-evolution-des-rapports-entre-les-etats-africains-dominera-les-travaux-du-conseil-executif-de-la-communaute_2090227_1819218.html,1960
Italienne) et les soeurs Kessler,1965-05-26,https://www.lemonde.fr/archives/article/1965/05/26/table-ronde-sur-les-programmes-europeens-de-television_2170990_1819218.html,1965
" Si les places de nos deux championnes olympiques, les soeurs Goitschel, ne constituent pas un événement - à Val-d'Isère déjà, à l'occasion du Critérium de la première neige, elles avaient démontré leur forme, - celles de Madeleine Bochatay, en revanche, sont une heureuse surprise",1966-01-11,https://www.lemonde.fr/archives/article/1966/01/11/l-americain-bill-kidd-a-gagne-le-deuxieme-slalom-et-le-combine-a-adelboden_2702331_1819218.html,1966
"Il rappelait que ses deux frères étaient morts, ce qui le laissait "" à la tête d'une famille nombreuse, comprenant ma mère, mes soeurs, ma femme et mes enfants, ainsi que les enfants de Rolande (une belle-sœur), dont je suis le tuteur """,1970-10-20,https://www.lemonde.fr/archives/article/1970/10/20/decidez-ou-ma-vie-ou-ma-mort-avait-ecrit-le-ministre-au-lendemain-de-son-enlevement_2661888_1819218.html,1970
"Comme ses soeurs les grandes écoles, elle s'adapte, innove, se modernise",1987-01-15,https://www.lemonde.fr/archives/article/1987/01/15/les-etudes_4043445_1819218.html,1987
"Comme ses soeurs les grandes écoles, elle s'adapte, innove, se modernise",1987-01-15,https://www.lemonde.fr/archives/article/1987/01/15/les-etudes_4043445_1819218.html,1987
"On achève le travail scolaire en montant les Trois Soeurs, de Tchekhov, et Laura est une Irina passionnée",1987-01-28,https://www.lemonde.fr/archives/article/1987/01/28/l-etrangere-de-zelda-barron-amours-adolescentes_4029629_1819218.html,1987
"La noblesse française prend sa revanche sur 1789 : avec l'appui de ses trois soeurs, la fille d'un marquis est sortie victorieuse du duel qui l'opposait dimanche 15 février au fils d'un fermier",1987-02-17,https://www.lemonde.fr/archives/article/1987/02/17/une-election-municipale-la-marquise-bat-le-fermier-de-trois-voix-celles-de-ses-soeurs_4027077_1819218.html,1987
"Visites interdites après 22 heures, les bonnes soeurs (certains foyers sont gérés par des religieuses) qui ""bouclent leurs pensionnaires par peur du diable et des garçons"", portes fermées à une 1 heure du matin, chambres parfois fouillées en l'absence des locataires sous prétexte de chercher des appareils électriques prohibés, communications téléphoniques non transmises, machines à laver insuffisantes et payantes",1987-02-21,https://www.lemonde.fr/archives/article/1987/02/21/manifestation-nationale-contre-la-hausse-des-loyers-et-les-conditions-de-vie-la-revolte-dans-les-foyers-de-jeunes-travailleurs-le-tam-tam-de-gennevilliers_4029166_1819218.html,1987
"Chirac aime ""le piment de la force "" Puis Mmme Michaux-Chevry s'est adressée exclusivement à ses "" frères et soeurs "" : "" Décolonisons-nous, perdons nos complexes",1987-02-24,https://www.lemonde.fr/archives/article/1987/02/24/controverses-sur-l-outre-mer-c-est-le-president-de-la-republique-qui-met-le-feu-aux-poudres-affirme-mme-lucette-michaux-chevry_4029859_1819218.html,1987
"Le fils ainé de la famille, Maurice de Broglie, se trouva alors chargé de l'éducation de ses jeunes frères et soeurs",1987-03-20,https://www.lemonde.fr/archives/article/1987/03/20/la-mort-de-louis-de-broglie-le-pere-de-la-mecanique-ondulatoire_4060668_1819218.html,1987
"Ces deux villes soeurs (mais rivales), qui réclamaient hier le métro, désormais hésitent",1987-03-22,https://www.lemonde.fr/archives/article/1987/03/22/accord-sur-la-technique-polemique-sur-les-lignes-val-les-lecons-de-lille_4062107_1819218.html,1987
"Faire aussi moderne que leurs jeunes soeurs tout en gardant chacune ce qui est leur grande force : attirer et fidéliser le public de l'après-midi, constitué de femmes au foyer, de personnes âgées et de malades",1987-03-22,https://www.lemonde.fr/archives/article/1987/03/22/enquete-a-quoi-servent-les-speakerines_4062100_1819218.html,1987
"Quant à ses consoeurs de FR3, qui sont toutes comédiennes, c'est pour elles une chance de ne passer que l'après-midi, car elles ne sont pas vues dans leur milieu professionnel",1987-03-22,https://www.lemonde.fr/archives/article/1987/03/22/enquete-a-quoi-servent-les-speakerines_4062100_1819218.html,1987
